,time,2-Resp1,2-Resp2,2-Resp3,2-Resp4,2-Resp5,2-Resp6,2-Resp7,2-Resp8,2-Resp9,2-Resp10,2-Resp11,2-Resp12,2-Resp13,2-Resp14,2-Resp15,2-Resp16,2-Resp17,2-Resp18,2-Resp19,2-Resp20,2-Resp21,2-Resp22,2-Resp23,2-Resp25,2-Resp26,2-Resp27,2-Resp28,2-Resp30,Avg-1,Avg-2,Avg-3,Avg-4,Avg-5,Avg-6,Avg-7,Avg-8,Avg-9,Avg-10,Avg-11,Avg-12,Avg-13,Avg-14,Avg-15,Avg-16,Avg-17,Avg-18,Avg-19,Avg-20,Avg-21,Avg-22,Avg-23,Avg-25,Avg-26,Avg-27,Avg-28,Avg-30
1291,1292,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,62.0,77.0,97.0,64.0,71.0,48.0,61.0,76.0,81.0,63.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,76.66666666666667,76.0,75.77777777777777,75.4074074074074,75.4074074074074,75.4074074074074,76.33333333333333,76.85185185185185,76.81481481481481,76.25925925925925,75.51851851851852,76.74074074074075,76.48148148148148,77.33333333333333,76.85185185185185,76.29629629629629,76.11111111111111,76.77777777777777,76.44444444444444,76.22222222222223,77.03703703703704,76.70370370370371,76.77777777777777,75.4074074074074,75.85185185185185,76.55555555555556,75.4074074074074,76.55555555555556
1292,1293,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,62.0,77.0,97.0,64.0,71.0,48.0,61.0,76.0,81.0,63.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,76.66666666666667,76.0,75.77777777777777,75.4074074074074,75.4074074074074,75.4074074074074,76.33333333333333,76.85185185185185,76.81481481481481,76.25925925925925,75.51851851851852,76.74074074074075,76.48148148148148,77.33333333333333,76.85185185185185,76.29629629629629,76.11111111111111,76.77777777777777,76.44444444444444,76.22222222222223,77.03703703703704,76.70370370370371,76.77777777777777,75.4074074074074,75.85185185185185,76.55555555555556,75.4074074074074,76.55555555555556
1293,1294,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,62.0,77.0,97.0,64.0,71.0,48.0,63.0,76.0,81.0,63.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,76.74074074074075,76.07407407407408,75.85185185185185,75.48148148148148,75.48148148148148,75.48148148148148,76.4074074074074,76.92592592592592,76.88888888888889,76.33333333333333,75.5925925925926,76.81481481481481,76.55555555555556,77.4074074074074,76.85185185185185,76.37037037037037,76.18518518518519,76.85185185185185,76.51851851851852,76.29629629629629,77.11111111111111,76.77777777777777,76.85185185185185,75.48148148148148,75.92592592592592,76.62962962962963,75.48148148148148,76.62962962962963
1294,1295,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,74.0,77.0,97.0,75.0,71.0,48.0,63.0,76.0,81.0,71.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,77.88888888888889,77.22222222222223,77.0,76.62962962962963,76.62962962962963,76.62962962962963,77.55555555555556,78.07407407407408,77.5925925925926,77.48148148148148,76.74074074074075,77.55555555555556,77.70370370370371,78.55555555555556,78.0,77.51851851851852,77.33333333333333,77.70370370370371,77.66666666666667,77.44444444444444,78.25925925925925,77.92592592592592,78.0,76.62962962962963,77.07407407407408,77.77777777777777,76.62962962962963,77.77777777777777
1295,1296,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,77.0,77.0,97.0,75.0,71.0,48.0,75.0,76.0,81.0,76.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,78.62962962962963,77.96296296296296,77.74074074074075,77.37037037037037,77.37037037037037,77.37037037037037,78.29629629629629,78.81481481481481,78.22222222222223,78.22222222222223,77.48148148148148,78.29629629629629,78.44444444444444,79.29629629629629,78.29629629629629,78.25925925925925,78.07407407407408,78.25925925925925,78.4074074074074,78.18518518518519,79.0,78.66666666666667,78.74074074074075,77.37037037037037,77.81481481481481,78.51851851851852,77.37037037037037,78.51851851851852
1296,1297,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,77.0,77.0,97.0,75.0,71.0,64.0,80.0,76.0,81.0,76.0,72.0,78.0,56.0,65.0,63.0,100.0,88.0,69.0,100.0,69.0,79.4074074074074,78.74074074074075,78.51851851851852,78.14814814814815,78.14814814814815,78.14814814814815,79.07407407407408,79.5925925925926,79.0,79.0,78.25925925925925,79.07407407407408,79.22222222222223,79.48148148148148,78.88888888888889,79.03703703703704,78.85185185185185,79.03703703703704,79.18518518518519,78.96296296296296,79.77777777777777,79.44444444444444,79.51851851851852,78.14814814814815,78.5925925925926,79.29629629629629,78.14814814814815,79.29629629629629
1297,1298,66.0,84.0,90.0,100.0,100.0,100.0,75.0,61.0,77.0,87.0,97.0,75.0,71.0,64.0,87.0,76.0,81.0,78.0,72.0,78.0,56.0,65.0,63.0,100.0,90.0,69.0,100.0,69.0,80.18518518518519,79.51851851851852,79.29629629629629,78.92592592592592,78.92592592592592,78.92592592592592,79.85185185185185,80.37037037037037,79.77777777777777,79.4074074074074,79.03703703703704,79.85185185185185,80.0,80.25925925925925,79.4074074074074,79.81481481481481,79.62962962962963,79.74074074074075,79.96296296296296,79.74074074074075,80.55555555555556,80.22222222222223,80.29629629629629,78.92592592592592,79.29629629629629,80.07407407407408,78.92592592592592,80.07407407407408
1298,1299,66.0,84.0,90.0,100.0,100.0,100.0,75.0,65.0,77.0,96.0,97.0,75.0,71.0,64.0,93.0,76.0,81.0,83.0,72.0,78.0,56.0,65.0,63.0,100.0,95.0,69.0,100.0,69.0,81.25925925925925,80.5925925925926,80.37037037037037,80.0,80.0,80.0,80.92592592592592,81.29629629629629,80.85185185185185,80.14814814814815,80.11111111111111,80.92592592592592,81.07407407407408,81.33333333333333,80.25925925925925,80.88888888888889,80.70370370370371,80.62962962962963,81.03703703703704,80.81481481481481,81.62962962962963,81.29629629629629,81.37037037037037,80.0,80.18518518518519,81.14814814814815,80.0,81.14814814814815
1299,1300,66.0,84.0,90.0,100.0,100.0,100.0,75.0,65.0,77.0,96.0,97.0,75.0,71.0,64.0,100.0,83.0,81.0,83.0,72.0,78.0,56.0,65.0,63.0,100.0,95.0,69.0,100.0,69.0,81.77777777777777,81.11111111111111,80.88888888888889,80.51851851851852,80.51851851851852,80.51851851851852,81.44444444444444,81.81481481481481,81.37037037037037,80.66666666666667,80.62962962962963,81.44444444444444,81.5925925925926,81.85185185185185,80.51851851851852,81.14814814814815,81.22222222222223,81.14814814814815,81.55555555555556,81.33333333333333,82.14814814814815,81.81481481481481,81.88888888888889,80.51851851851852,80.70370370370371,81.66666666666667,80.51851851851852,81.66666666666667
1300,1301,66.0,84.0,90.0,100.0,100.0,100.0,75.0,65.0,77.0,96.0,97.0,75.0,71.0,64.0,100.0,84.0,81.0,83.0,72.0,78.0,56.0,65.0,67.0,100.0,95.0,69.0,100.0,69.0,81.96296296296296,81.29629629629629,81.07407407407408,80.70370370370371,80.70370370370371,80.70370370370371,81.62962962962963,82.0,81.55555555555556,80.85185185185185,80.81481481481481,81.62962962962963,81.77777777777777,82.03703703703704,80.70370370370371,81.29629629629629,81.4074074074074,81.33333333333333,81.74074074074075,81.51851851851852,82.33333333333333,82.0,81.92592592592592,80.70370370370371,80.88888888888889,81.85185185185185,80.70370370370371,81.85185185185185
